KKS (Mask KKS)*	Delta*	Name	Munit	Discrete(NULL or any_value)	SystematicError
10JKS10FX901XQ01	1	Îôñåò			
10JKS11FX901XQ01	1	Îôñåò ïî ÄÏÇ			
10MKA1°CE911XQ01	13	Àêòèâíàÿ ìîùíîñòü ãåíåðàòîðà	ÌÂò		
10MKA10FE911XQ01	13	N ÝË	%		
10JKS85FX???XQ01	1	KQ ÈÐ			
10JKS86FX???XQ??	1	KV 16 ÈÐ			
10JKS14FX???XQ0?	1	KV 7			
10JKS01FX???XQ??	1	KV 16 			
10JEC00FU001XQ01	33	N 1 êîíòóðà	ÌÂò		
10JEC00FU001XQ02	0.5	N 1 êîíòóðà	%		
10JEC?0FU001XQ01	17	N ïåòåëü 1 êîíòóðà	ÌÂò		
10JKS00FU001XQ01	18	N ÄÏÇ	ÌÂò		
10JKS00FU001XQ02	0.5	N ÄÏÇ	%		
10JKS00FU901XQ01	18	N ÀÊÇ	ÌÂò		
10JKS00FU901XQ02	0.5	N ÀÊÇ	%		
10JKS00FU901XQ05	18	N ÀÊÇ (ñð. äëÿ mf)	ÌÂò		
10JKT00FU001XQ01	19	N ÀÊÍÏ	ÌÂò			
10JKT00FU001XQ02	0.5	N ÀÊÍÏ	%			
10LAB00FU001XQ01	33	N 2 êîíòóðà	ÌÂò		
10LAB00FU001XQ02	0.5	N 2 êîíòóðà	%		
10LAB?0FU001XQ01	0.5	N ïåòåëü 2 êîíòóðà	ÌÂò		
10JKS22FX???XQ0?	1	QED	ÌÂò		
10JKS27FX???XQ0?	1	QL ÏÅÐÈÔ. ÒÂÝË	Âò/ì		
10JKS26FX???XQ0?	1	QL ÒÂÝÃ	Âò/ì		
10JKS25FX???XQ0?	1	QL ÒÂÝË	Âò/ì		
10JKS38FX???XQ??	1	QV			
10KBA60CQ001XQ01	0.08	Q ÁÎÐ Â ÏÎÄÏ 1Ê	ã/äì3		
10JKS00FQ001XQ01	0.1	Êðèò. êîíö. ÁÊ	ã/äì3		
10LAB?0FF901XQ01	120	ÌÀÑ F ÏÂ Â ÏÃ	ò/÷		
10JEF10CL00?XQ01	0.04	L ÊÄ	ì		
10JEF10CT910XQ01	1	T Â ÊÄ	°C		
10JEF10CP001XQ01	0.1	P Â ÊÄ	ì		
10LAB00FF903XQ01	100	ÑÓÌÌ ÌÀÑ F ÏÂ Â ÏÃ	ò/÷		
10LAB00FF903XQ02	100	ÑÓÌÌ ÎÁÚÅÌ F ÏÂ Â ÏÃ	ì3/÷		
10LAB?0FF001XQ01	100	F ÏÂ Â ÏÃ ÌÀÑÑ	ò/÷		
10LAB?0FF002XQ01	100	F ÏÂ Â ÏÃ ÎÁÚÅÌ	ì3/÷		


10CML01FP001XQ01	1	P2_ÇÀÄ			
10CML01FP002XQ01	1	P2_ÒÅÊ			
10CML01FP003XQ01	1	P2_ÇÎÍÀ			
10CML01FX001XQ01	1	N_ÇÀÄ			
10CML01FX002XQ01	1	DN_ÒÅÊ			

1CLN0?ER051?XN01	1	ÀÇ (T)			
1CLN0?ER051?XN02	1	ÏÑ (T)			
1CLN0?ER051?XN03	1	ÀÇ (N)			
1CLN0?ER051?XN04	1	ÏÑ (N)			
1CLN0?ER051?XN05	1	ÏÑ (N) (ÏÄ)			
1CLN0?FU002?XQ31	1	Ðàñ÷åòíàÿ ðåàêòèâíîñòü			
AKNPTIMESTAMP?	1	Ìåòêà âðåìåíè ÀÊÍÏ			
10JKS28FX0??XQ0?	1	DNBR (7 ÑËÎÅÂ)			
10JKS28FX1??XQ0?	1	DNBR (7 ÑËÎÅÂ)			
10JKS87FX???XQ??	1	DNBR (16 ÑËÎÅÂ)			
10JKS14FG906XQ01	1	ÏËÆ MIN ÇÏ KV7L			
10JKS14FG906XQ02	1	ÏËÆ MIN ÇÏ KV7L(ÑÂÁÓ)			
10JKS14FG906XQ03	1	ÏËÆ MIN ÇÏ KV7L(ñëîé)			
10JKS14FX906XH01	1	ÏÐ ÄÏ ÇÍ KV			
10JKS14FX906XQ01	1	MIN ÇÏ ÄÏ ÇÍ KV7L			
10JKS28FX906XQ?1	1	MIN ÇÏ ÄÏ ÇÍ DNBR7L			
10JKS25FG906XQ01	1	ÊÐÄ ÒÂÑ MIN ÇÏ QL7L ÒÂÝË			
10JKS25FG906XQ??	1	ÍÎÌ ÑË Ñ MIN ÇÏ QL7L ÒÂÝË			
10JKS28FG906XQ01	1	ÏËÆ MIN ÇÏ DNBR7L			
10JKS25FX906XH03	1	ÏÐ ÄÏ ÇÍ QL ÒÂÝË ÏÇ-1			
10JKS25FX906XH04	1	ÏÐ ÄÏ ÇÍ QL ÒÂÝË ÀÇ			
10JKS25FX906XQ??	1	MIN ÇÏ ÏÎ QL7LTVL			
10JKS26FG906XQ0?	1	ÏËÆ MIN ÇÏ QL7L ÒÂÝÃ			
10JKS27FG906XQ0?	1	ÏËÆ MIN ÇÏ QL7L ÏÅÐÈÔ. ÒÂÝË			
10JKS27FX906XQ01	1	MIN ÇÏ ÏÎ QL7L ÏÅÐÈÔ. ÒÂÝË			
10JKS06FG902XQ0?	1	ÏËÆ ÒÂÑ Ñ MAX KQ			
10JKS03FX907XQ01	1	Îáùåå ñðåäíåêâàäðàòè÷íîå îòêëîíåíèå KV			
10JKS14FX_RF??	1	ÏËÆ ÌÀÊÑ KV7L			
10JKS24FG906XQ0?	1	ÏËÆ MIN ÇÏ QL7L			
10JKS24FX902XQ01	1	MAX QL7L			
10JKS24FX906XH03	1	ÏÐ ÄÏ ÇÍ QL ÏÇ-1			
10JKS24FX906XH04	1	ÏÐ ÄÏ ÇÍ QL ÀÇ (TXS-A)			
10JKS24FX906XH05	1	ÏÐ ÄÏ ÇÍ QL ÀÇ (TXS-B)			
10JKS24FX906XQ01	1	MIN ÇÏ ÏÎ QL7L			
10JKS06FX_RF??	1	ÏËÆ ÌÀÊÑ KQ			
10JKS07FX_RF01	1	ÍÀÏÐ ÒÂÑ (ÏÎ ÌÎÙÍÎÑÒÈ)			
10JKS25FX_RF01	1	ÏËÆ ÌÀÊÑ. QL ÒÂÝË			
10JKS26FX_RF01	1	ÏËÆ ÌÀÊÑ. QL ÒÂÝÃ			
10JKS27FX_RF01	1	ÏËÆ ÌÀÊÑ. QL ÏÅÐÈÔ. ÒÂÝË			
10JKS28FX_RF01	1	ÏËÆ ÌÈÍ DNBR7L			
10JKS50FT_RF01	1	ÏËÆ ÌÈÍ DNBT			
10JKS51FT_RF01	1	ÏËÆ ÌÀÊÑ. Ò ÍÀ ÂÛÕ ÒÂÑ ÏÎ ÊÍÈÒ Á			
10JKS56FT_RF01	1	ÏËÆ ÌÀÊÑ DT Â ÒÂÑ ÏÎ ÊÍÈÒ			
10JKS87FX_RF01	1	ÏËÆ ÌÈÍ DNBR			
10JKS94FX_RF01	1	ÏËÆ ÌÀÊÑ KR ÒÂÝË			
10JKS95FX_RF01	1	ÏËÆ ÌÀÊÑ KR ÒÂÝÃ			
10JKS96FX_RF01	1	ÏËÆ ÌÀÊÑ KR ÏÅÐÈÔ ÒÂÝË			
10JKS01FG902XQ0?	1	ÊÐÄ ÒÂÑ Ñ MAX KV			
10JKS07FG902XQ01	1	ÏËÆ ÒÂÑ Ñ MAX QVCAS			
10JKS10FG902XQ0?	1	ÏËÆ ÒÂÑ Ñ MAX ÎÔÑÅÒ			
10JKS10FG904XQ0?	1	ÏËÆ ÒÂÑ Ñ MIN ÎÔÑÅÒ			
10JKS26FG906XQ??	1	ÍÎÌ ÑË Ñ MIN ÇÏ QL7L ÒÂÝÃ			
10JKS27FG906XQ??	1	ÍÎÌ ÑË Ñ MIN ÇÏ QL7L ÏÅÐÈÔ. ÒÂÝË			
10JKS28FG906XQ02	1	ÊÐÄ ÒÂÑ MIN ÇÏ DNBR7L			
10JKS28FG906XQ03	1	ÍÎÌ ÑË Ñ MIN ÇÏ DNBR7L			
10JKS28FG906XQ04	1	ÍÎÌ ÒÂÑ Ñ MIN ÇÏ DNBR7L			
10JKS28FG906XQ??	1	ÍÎÌ ÑË(ÒÂÑ) Ñ MIN ÇÏ DNBR7L			
10JKS40FG904XQ01	1	ÏËÆ ÒÂÑ Ñ MIN DNBR			
10JKS41FG902XQ01	1	ÏËÆ ÒÂÑ Ñ MAX Q ÒÂÝË Â ÀÊÇ 			
10JKS49FG902XQ0?	1	ÏËÆ MAX QVMF			
10JKS50FG904XQ01	1	ÏËÆ ÒÂÑ Ñ MIN DNBT			
10JKS51FG902XQ0?	1	ÏËÆ ÒÂÑ Ñ MAX Ò ÂÛÕ ÏÎ ÊÍÈÒ			
10JKS51FG906XQ0?	1	ÏËÆ ÒÂÑ Ñ MIN ÇÏ ÄÏ ÇÍ Ò ÂÛÕ ÏÎ ÊÍÈÒ			
10JKS53FG902XQ0?	1	ÏËÆ ÒÂÑ Ñ MAX Ò ÂÛÕ ÐÀÑ×			
10JKS54FG902XQ0?	1	ÏËÆ ÒÂÑ Ñ MAX Ò ÂÕ ÒÂÑ ÏÎ ÊÍÈÒ			
10JKS55FG902XQ01	1	ÏËÆ ÒÂÑ Ñ MAX Ò ÂÕ ÐÀÑ×			
10JKS56FG902XQ0?	1	ÏËÆ ÒÂÑ Ñ MAX DT ÏÎ ÊÍÈÒ			
10JKS56FG906XQ0?	1	ÏËÆ ÒÂÑ Ñ MIN ÇÏ ÄÏ ÇÍ DT ÏÎ ÊÍÈÒ			
10JKS58FG902XQ0?	1	ÏËÆ ÒÂÑ Ñ MAX DT ÐÀÑ×			
10JKS82FG902XQ0?	1	ÒÂÑ Ñ MAX ÎÒÊË ÊÎÝÔ ÊÀËÈÁÐÎÂÊÈ			
10JKS83FG902XQ01	1	ÏËÆ ÒÂÑ Ñ MAX ÎÒÊË ÂÎÑÑÒ KQ ÎÒ KQ ÈÐ			
10JKS83FG904XQ01	1	ÏËÆ ÒÂÑ Ñ MIN ÎÒÊË ÂÎÑÑÒ KQ ÎÒ KQ ÈÐ			
10JKS84FG902XQ01	1	ÏËÆ MAX ÎÒÊË ÂÎÑÑÒ KV ÎÒ KV ÈÐ			
10JKS84FG904XQ01	1	ÏËÆ MIN ÎÒÊË ÂÎÑÑÒ KV ÎÒ KV ÈÐ			
10JKS85FG902XQ01	1	ÏËÆ ÒÂÑ Ñ MAX KQ ÈÐ			
10JKS86FG902XQ01	1	ÏËÆ MAX KV ÈÐ			
10JKS87FG904XQ01	1	ÏËÆ ÒÂÑ Ñ MIN DNBR			
10JKS94FG902XQ01	1	ÏËÆ ÒÂÑ Ñ MAX KR òâýëîâ			
10JKS95FG902XQ01	1	ÏËÆ ÒÂÑ Ñ MAX KR òâýãîâ			
10JKS96FG902XQ01	1	ÏËÆ ÒÂÑ Ñ MAX KR ÏÅÐÈÔ òâýëîâ			
10JKS07FX906XQ01	1	MIN ÇÏ ÏÎ QVCAS			
10JKS26FX906XH03	1	ÏÐ ÄÏ ÇÍ QL ÒÂÝÃ ÏÇ-1			
10JKS26FX906XH04	1	ÏÐ ÄÏ ÇÍ QL ÒÂÝÃ ÀÇ			
10JKS26FX906XQ??	1	MIN ÇÏ ÏÎ QL7LTVG			
10JKS27FX906XH03	1	ÏÐ ÄÏ ÇÍ QL ÏÅÐÈÔ ÒÂÝË ÏÇ-1			
10JKS27FX906XH04	1	ÏÐ ÄÏ ÇÍ QL ÏÅÐÈÔ ÒÂÝË ÀÇ			
10JKS27FX906XQ??	1	MIN ÇÏ ÏÎ QL7L ÏÅÐÈÔ. ÒÂÝË			
10JKS28FX906XH?2	1	ÏÐ ÄÏ ÇÍ DNBR ÏÇ-2			
10JKS28FX906XH?4	1	ÏÐ ÄÏ ÇÍ DNBR ÀÇ			
10JKS28FX906XH?5	1	ÏÐ ÄÏ ÇÍ DNBR ÀÇ			
10JKS94FX906XQ01	1	MIN ÇÏ ÄÏ ÇÍ KR òâýëîâ			
10JKS95FX906XQ01	1	MIN ÇÏ ÄÏ ÇÍ KR òâýãîâ			
10JKS96FX906XQ01	1	MIN ÇÏ ÄÏ ÇÍ KR ÏÅÐÈÔ òâýëîâ			
10JKS28FX906XQ?2	1	MIN ÇÏ ÏÎ DNBR7L			
OFSTIR	1	Oôñåò ðàñ÷. ïî ÈÐ			
OFSTIREQ	1	Oôñåò ðàâíîâåñíûé ðàñ÷. ïî ÈÐ 			
10JKS42FX901XQ02	1	ÑÐÅÄÍÅÊÂÀÄÐÀÒÈ×ÍÎÅ ÎÒÊË ÏÎ ÌÈÄ
10JKS51FT902XQ01	1	MAX Ò ÂÛÕ ÏÎ ÊÍÈÒ	°C		
10JKS56FT902XQ01	1	MAX DT ÒÂÑ ÏÎ ÊÍÈÒ	°C		
10JKS51FT906XQ01	1	MIN ÇÏ ÄÏ ÇÍ Ò ÂÛÕ ÏÎ ÊÍÈÒ	°C		
