KKS (Mask KKS)*	Delta*	Name	Munit	Discrete(NULL or any_value)	SystematicError
?0JKS00FQ001XQ01	0.1	Крит. конц. БК	г/дм3		
?0LAB?0FF901XQ01	120	МАС F ПВ В ПГ	т/ч		
?0JEF10CL00?XQ01	0.04	L КД	м		
?0JEF10CT910XQ01	1	T В КД	°C		
?0JEF10CP001XQ01	0.1	P В КД	м		
?0LAB00FF903XQ01	100	СУММ МАС F ПВ В ПГ	т/ч		
?0LAB00FF903XQ02	100	СУММ ОБЪЕМ F ПВ В ПГ	м3/ч		
?0LAB?0FF001XQ01	100	F ПВ В ПГ МАСС	т/ч		
?0LAB?0FF002XQ01	100	F ПВ В ПГ ОБЪЕМ	м3/ч		


?0CML01FP001XQ01	1	P2_ЗАД			
?0CML01FP002XQ01	1	P2_ТЕК			
?0CML01FP003XQ01	1	P2_ЗОНА			
?0CML01FX001XQ01	1	N_ЗАД			
?0CML01FX002XQ01	1	DN_ТЕК			

?CLN0?ER051?XN01	1	АЗ (T)			
?CLN0?ER051?XN02	1	ПС (T)			
?CLN0?ER051?XN03	1	АЗ (N)			
?CLN0?ER051?XN04	1	ПС (N)			
?CLN0?ER051?XN05	1	ПС (N) (ПД)			
?CLN0?FU002?XQ31	1	Расчетная реактивность			
AKNPTIMESTAMP?	1	Метка времени АКНП			
?0JKS28FX0??XQ0?	1	DNBR (7 СЛОЕВ)			
?0JKS28FX1??XQ0?	1	DNBR (7 СЛОЕВ)			
?0JKS87FX???XQ??	1	DNBR (16 СЛОЕВ)			
?0JKS14FG906XQ01	1	ПЛЖ MIN ЗП KV7L			
?0JKS14FG906XQ02	1	ПЛЖ MIN ЗП KV7L(СВБУ)			
?0JKS14FG906XQ03	1	ПЛЖ MIN ЗП KV7L(слой)			
?0JKS14FX906XH01	1	ПР ДП ЗН KV			
?0JKS14FX906XQ01	1	MIN ЗП ДП ЗН KV7L			
?0JKS28FX906XQ?1	1	MIN ЗП ДП ЗН DNBR7L			
?0JKS25FG906XQ01	1	КРД ТВС MIN ЗП QL7L ТВЭЛ			
?0JKS25FG906XQ??	1	НОМ СЛ С MIN ЗП QL7L ТВЭЛ			
?0JKS28FG906XQ01	1	ПЛЖ MIN ЗП DNBR7L			
?0JKS25FX906XH03	1	ПР ДП ЗН QL ТВЭЛ ПЗ-1			
?0JKS25FX906XH04	1	ПР ДП ЗН QL ТВЭЛ АЗ			
?0JKS25FX906XQ??	1	MIN ЗП ПО QL7LTVL			
?0JKS26FG906XQ0?	1	ПЛЖ MIN ЗП QL7L ТВЭГ			
?0JKS27FG906XQ0?	1	ПЛЖ MIN ЗП QL7L ПЕРИФ. ТВЭЛ			
?0JKS27FX906XQ01	1	MIN ЗП ПО QL7L ПЕРИФ. ТВЭЛ			
?0JKS06FG902XQ0?	1	ПЛЖ ТВС С MAX KQ			
?0JKS03FX907XQ01	1	Общее среднеквадратичное отклонение KV			
?0JKS14FX_RF??	1	ПЛЖ МАКС KV7L			
?0JKS24FG906XQ0?	1	ПЛЖ MIN ЗП QL7L			
?0JKS24FX902XQ01	1	MAX QL7L			
?0JKS24FX906XH03	1	ПР ДП ЗН QL ПЗ-1			
?0JKS24FX906XH04	1	ПР ДП ЗН QL АЗ (TXS-A)			
?0JKS24FX906XH05	1	ПР ДП ЗН QL АЗ (TXS-B)			
?0JKS24FX906XQ01	1	MIN ЗП ПО QL7L			
?0JKS06FX_RF??	1	ПЛЖ МАКС KQ			
?0JKS07FX_RF01	1	НАПР ТВС (ПО МОЩНОСТИ)			
?0JKS25FX_RF01	1	ПЛЖ МАКС. QL ТВЭЛ			
?0JKS26FX_RF01	1	ПЛЖ МАКС. QL ТВЭГ			
?0JKS27FX_RF01	1	ПЛЖ МАКС. QL ПЕРИФ. ТВЭЛ			
?0JKS28FX_RF01	1	ПЛЖ МИН DNBR7L			
?0JKS50FT_RF01	1	ПЛЖ МИН DNBT			
?0JKS51FT_RF01	1	ПЛЖ МАКС. Т НА ВЫХ ТВС ПО КНИТ Б			
?0JKS56FT_RF01	1	ПЛЖ МАКС DT В ТВС ПО КНИТ			
?0JKS87FX_RF01	1	ПЛЖ МИН DNBR			
?0JKS94FX_RF01	1	ПЛЖ МАКС KR ТВЭЛ			
?0JKS95FX_RF01	1	ПЛЖ МАКС KR ТВЭГ			
?0JKS96FX_RF01	1	ПЛЖ МАКС KR ПЕРИФ ТВЭЛ			
?0JKS01FG902XQ0?	1	КРД ТВС С MAX KV			
?0JKS07FG902XQ01	1	ПЛЖ ТВС С MAX QVCAS			
?0JKS10FG902XQ0?	1	ПЛЖ ТВС С MAX ОФСЕТ			
?0JKS10FG904XQ0?	1	ПЛЖ ТВС С MIN ОФСЕТ			
?0JKS26FG906XQ??	1	НОМ СЛ С MIN ЗП QL7L ТВЭГ			
?0JKS27FG906XQ??	1	НОМ СЛ С MIN ЗП QL7L ПЕРИФ. ТВЭЛ			
?0JKS28FG906XQ02	1	КРД ТВС MIN ЗП DNBR7L			
?0JKS28FG906XQ03	1	НОМ СЛ С MIN ЗП DNBR7L			
?0JKS28FG906XQ04	1	НОМ ТВС С MIN ЗП DNBR7L			
?0JKS28FG906XQ??	1	НОМ СЛ(ТВС) С MIN ЗП DNBR7L			
?0JKS40FG904XQ01	1	ПЛЖ ТВС С MIN DNBR			
?0JKS41FG902XQ01	1	ПЛЖ ТВС С MAX Q ТВЭЛ В АКЗ 			
?0JKS49FG902XQ0?	1	ПЛЖ MAX QVMF			
?0JKS50FG904XQ01	1	ПЛЖ ТВС С MIN DNBT			
?0JKS51FG902XQ0?	1	ПЛЖ ТВС С MAX Т ВЫХ ПО КНИТ			
?0JKS51FG906XQ0?	1	ПЛЖ ТВС С MIN ЗП ДП ЗН Т ВЫХ ПО КНИТ			
?0JKS53FG902XQ0?	1	ПЛЖ ТВС С MAX Т ВЫХ РАСЧ			
?0JKS54FG902XQ0?	1	ПЛЖ ТВС С MAX Т ВХ ТВС ПО КНИТ			
?0JKS55FG902XQ01	1	ПЛЖ ТВС С MAX Т ВХ РАСЧ			
?0JKS56FG902XQ0?	1	ПЛЖ ТВС С MAX DT ПО КНИТ			
?0JKS56FG906XQ0?	1	ПЛЖ ТВС С MIN ЗП ДП ЗН DT ПО КНИТ			
?0JKS58FG902XQ0?	1	ПЛЖ ТВС С MAX DT РАСЧ			
?0JKS82FG902XQ0?	1	ТВС С MAX ОТКЛ КОЭФ КАЛИБРОВКИ			
?0JKS83FG902XQ01	1	ПЛЖ ТВС С MAX ОТКЛ ВОССТ KQ ОТ KQ ИР			
?0JKS83FG904XQ01	1	ПЛЖ ТВС С MIN ОТКЛ ВОССТ KQ ОТ KQ ИР			
?0JKS84FG902XQ01	1	ПЛЖ MAX ОТКЛ ВОССТ KV ОТ KV ИР			
?0JKS84FG904XQ01	1	ПЛЖ MIN ОТКЛ ВОССТ KV ОТ KV ИР			
?0JKS85FG902XQ01	1	ПЛЖ ТВС С MAX KQ ИР			
?0JKS86FG902XQ01	1	ПЛЖ MAX KV ИР			
?0JKS87FG904XQ01	1	ПЛЖ ТВС С MIN DNBR			
?0JKS94FG902XQ01	1	ПЛЖ ТВС С MAX KR твэлов			
?0JKS95FG902XQ01	1	ПЛЖ ТВС С MAX KR твэгов			
?0JKS96FG902XQ01	1	ПЛЖ ТВС С MAX KR ПЕРИФ твэлов			
?0JKS07FX906XQ01	1	MIN ЗП ПО QVCAS			
?0JKS26FX906XH03	1	ПР ДП ЗН QL ТВЭГ ПЗ-1			
?0JKS26FX906XH04	1	ПР ДП ЗН QL ТВЭГ АЗ			
?0JKS26FX906XQ??	1	MIN ЗП ПО QL7LTVG			
?0JKS27FX906XH03	1	ПР ДП ЗН QL ПЕРИФ ТВЭЛ ПЗ-1			
?0JKS27FX906XH04	1	ПР ДП ЗН QL ПЕРИФ ТВЭЛ АЗ			
?0JKS27FX906XQ??	1	MIN ЗП ПО QL7L ПЕРИФ. ТВЭЛ			
?0JKS28FX906XH?2	1	ПР ДП ЗН DNBR ПЗ-2			
?0JKS28FX906XH?4	1	ПР ДП ЗН DNBR АЗ			
?0JKS28FX906XH?5	1	ПР ДП ЗН DNBR АЗ			
?0JKS94FX906XQ01	1	MIN ЗП ДП ЗН KR твэлов			
?0JKS95FX906XQ01	1	MIN ЗП ДП ЗН KR твэгов			
?0JKS96FX906XQ01	1	MIN ЗП ДП ЗН KR ПЕРИФ твэлов			
?0JKS28FX906XQ?2	1	MIN ЗП ПО DNBR7L			
OFSTIR	1	Oфсет расч. по ИР			
OFSTIREQ	1	Oфсет равновесный расч. по ИР 			
?0JKS42FX901XQ02	1	СРЕДНЕКВАДРАТИЧНОЕ ОТКЛ ПО МИД
?0JKS51FT902XQ01	1	MAX Т ВЫХ ПО КНИТ	°C		
?0JKS56FT902XQ01	1	MAX DT ТВС ПО КНИТ	°C		
?0JKS51FT906XQ01	1	MIN ЗП ДП ЗН Т ВЫХ ПО КНИТ	°C		
