KKS (Mask KKS)*	Delta*	Name	Munit	Discrete(NULL or any_value)	SystematicError
??JEC?1CT8??XQ01	0.5	T ГН	°C		0.5
??JEC?3CT8??XQ01	0.5	T ХН	°C		0.5
?0JAA??CT8?1XQ01	1	ТП-3	°C		1
?0JAA??CT8?2XQ01	1	ТП-1А	°C		1
?0JAA??CT8?3XQ01	1	ТП-1Б	°C		1
?0JAA??CT8?4XQ01	1	Т термостат	°C		
?0JAA??CT8?5XQ01	1	Т под крышкой	°C		
?0JEC01FT901XQ02	0.5	VT ср по ХН	°C		
?0JEC02FT901XQ02	0.5	VT ср по ГН	°C		
?0JEC?1FT901XQ02	0.5	VT ГН	°C		
?0JEC?3FT901XQ02	0.5	VT ХН	°C		
?0JEC02FT901XQ01	0.25	T ср по ГН	°C		
?0JEC01FT901XQ01	0.25	T ср по ХН	°C		
?0JEC?1FT901XQ01	0.25	T ГН ср	°C		
?0JEC?3FT901XQ01	0.25	T ХН ср	°C		
?0JEC00FT901XQ01	0.25	dT ср	°C		
?0JEC?0FT001XQ01	0.25	dT в петле	°C		
?0JAA10FT001XQ01	1	Т нас в р-ре	°C		
?0LAB00FT901XQ02	1	ср Т ПВ в ПГ	°C		
?0LAB?0FT001XQ01	1	Т нас в ПГ	°C		
?0LAB?0FT002XQ01	1	Tнас 1к - Т нас 2к	°C		
?0JEC?1FT901XQ03	1	 зап до Тнас	°C		
?0JEC?0CP8?2XQ62	0.006	dP ГЦНА	МПа		
?0BB?00CE8??XQ62	0.07	Част пит ГЦНА	Гц		
?0JAA10CP8??XQ62	0.15	P над АкЗ	МПа		
?0JEB?0CE8??XQ62	100	N ГЦНА	кВт			
?0JR?02ED6???XE1	1	сост. петли	 - 	discrete		
?0JAA10CP201XQ01	0.125	P на выходе	МПа		
?0JAA10FP201XQ01	0.125	P на входе в р-р	МПа		
?0JAA10CP202XQ01	0.125	P АкЗ	МПа		
?0JAA10CP203XQ01	0.004	dP р-ре	МПа		
?0JEA?0CP001XQ01	0.06	P на выходе из ПГ	МПа		
?0LAB?0CT901XQ01	1.7	T ПВ в ПГ	°C		
?0LAB?0CP001BXQ1	0.07	P ПВ в ПГ	МПа		
?0LCQ?5CF001XQ01	0.3	 F непр прод	кг/с		
?0LCQ?6CF001XQ01	0.3	 F период прод	кг/с		
?0LCQ10CF001XQ01	0.8	 F на напоре возвр	кг/с		
?0JAA10FP901XQ01	0.06	ср P над АкЗ	МПа		
?0JEB?0FU001XQ01	1	сост петли	 - 		
?0JKS00FU003XQ01	1	режим работы РУ	 - 		
?0JEC?0FP901XQ01	0.003	ср dP на ГЦНА	МПа		
?0JEC?0FF002XQ01	150	FV в петлях	м3/ч		
?0BB?00FE901XQ01	0.03	ср част пит ГЦНА	Гц		
?0JEB?0FE901XQ01	50	ср N ГЦНА	кВт		
?0JEA?0CL00?XQ01	8	L ПГ	мм		
?0JEC?0FF001XQ01	120	FM в петлях	т/ч		
?0JEC00FF903XQ02	300	сум FV 	м3/ч		
?0JEC00FF903XQ01	240	сум FM	т/ч		
?0JEF10CL905XQ01	0.04	L КД	м		
?0LBA00CP901XQ01	0.004	P ГПК	МПа		
?0JEC?0CP001XQ01	0.004	dP на ПГ	МПа		
?0JAA10FP901XQ02	0.1	V (P) СР НАД АЗ	МПа/ч		
?0JAA10FP901XQ03	0.1	P РЕАКТ	Мпа		
?CLN0?CU001?XQ31	0.1	N текущая	%Nном		
?CLN0?CU001?XQ32	0.1	N в диапазоне РД2	%Nном		
?CLN0?CU001?XQ33	0.1	N в диапазоне РД1	%Nном		
?CLN0?CU001?XQ34	0.1	N в диапазоне ПД	%Nном		
?CLN0?CU001?XQ35	0.1	N в диапазоне ИД	%Nном		
?CLN0?CU001?XQ36	0.1	 N для расчета реактивности (включая АФП)	%Nном		
?CLN0?CU051?XN01	0.1	Работа в диапазоне (1-ИД, 2-ПД, 3-РД1, 4-РД2)	отн.ед.		
?CLN0?EH051?XN04	0.1	Проверка АКНП	отн.ед.		
?CLN0?EH051?XN03	0.1	Проверка АКНП	отн.ед.		
?CLN0?EH051?XN01	0.1	Неисправность АКНП	отн.ед.		
?0KUB11CQ001XQ01	0.08	C бор р-ре	г/дм3		
?0JDA00FG0??XQ01	1	Положение ОР СУЗ	см		
?0JDA00FG1??XQ01	1	Положение ОР СУЗ	см		
?0JDA00FG9??XQ01	1	рассогласование групп ОР СУЗ			
?0JDA00FG0??XQ02	1.5	Положение ОР СУЗ в %	%		
?0JDA00FG1??XQ02	1.5	Положение ОР СУЗ в %	%		
?0JDA00FG9??XQ02	1	Положение групп ОР СУЗ	%		
?CLN0?FU001?XQ31	100	Период реактора	сек		
?0JKS55FT???XQ01	1	Расчетная Т на входе в ТВС	°C		
?0JKS53FT???XQ01	1	Расчетная Т на выходе из ТВС	°C		
?0JKS50FT???XQ01	1	DNBT	°C		
?0JKS58FT???XQ01	1.5	DT ТВС расч	°C		
?0JKS56FT0??XQ01	0.8	DT в ТВС по КНИТ	°C		
?0JAA??CX8??XQ01	0.0023	Ток ДПЗ кор	мА		
?0JAA??CX8??XQ03	0.0023	Ток ДПЗ некор	мА		
?0JKS06FX???XQ01	1	KQ	от.ед.		
?0JKS10FX901XQ01	1	Офсет			
?0JKS11FX901XQ01	1	Офсет по ДПЗ			
?0MKA1?CE911XQ01	13	Активная мощность генератора	МВт		
?0MKA10FE911XQ01	13	N ЭЛ	%		
?0JKS85FX???XQ01	1	KQ ИР			
?0JKS86FX???XQ??	1	KV 16 ИР			
?0JKS14FX???XQ0?	1	KV 7			
?0JKS01FX???XQ??	1	KV 16 			
?0JEC00FU001XQ01	33	N 1 контура	МВт		
?0JEC00FU001XQ02	0.5	N 1 контура	%		
?0JEC?0FU001XQ01	17	N петель 1 контура	МВт		
?0JKS00FU001XQ01	18	N ДПЗ	МВт		
?0JKS00FU001XQ02	0.5	N ДПЗ	%		
?0JKS00FU901XQ01	18	N АКЗ	МВт		
?0JKS00FU901XQ02	0.5	N АКЗ	%		
?0JKS00FU901XQ05	18	N АКЗ (ср. для mf)	МВт		
?0JKT00FU001XQ01	19	N АКНП	МВт			
?0JKT00FU001XQ02	0.5	N АКНП	%			
?0LAB00FU001XQ01	33	N 2 контура	МВт		
?0LAB00FU001XQ02	0.5	N 2 контура	%		
?0LAB?0FU001XQ01	0.5	N петель 2 контура	МВт		
?0JKS22FX???XQ0?	1	QED	МВт		
?0JKS27FX???XQ0?	1	QL ПЕРИФ. ТВЭЛ	Вт/м		
?0JKS26FX???XQ0?	1	QL ТВЭГ	Вт/м		
?0JKS25FX???XQ0?	1	QL ТВЭЛ	Вт/м		
?0JKS38FX???XQ??	1	QV			
?0KBA60CQ001XQ01	0.08	Q БОР В ПОДП 1К	г/дм3		
