Белорусская АЭС-1-СВБУ  АРМ ЦТП-1 (10CKD02)
Имя пользователя: ATE_SMATE, Имя протокола: NVATE_CFDI/JEC 
Создано: 30.01.2020 22:34:01, Выборка: 30.01.20 18:20:00 - 30.01.20 18:50:00
Время	KKS	Знач	Ед.изм	Дост	Описание	
30.01.20 18:20:10,000	10JEC41CT812_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:11,000	10JEC31CT824V_XQ01	50.0	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:20:11,000	10JEC41CT812_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:17,000	10JEC41CT831_XQ01	284	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:18,000	10JEC41CT831_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:18,000	10JEC41CT821_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:19,000	10JEC11CT821_XQ01	288  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:19,000	10JEC21CT821_XQ01	288  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:19,000	10JEC31CT821_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:29,000	10JEC41CT831_XQ01	291	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:30,000	10JEC41CT831_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:48,000	10JEC41CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:49,000	10JEC11CT821_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:49,000	10JEC31CT843_XQ01	57.0	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:20:49,000	10JEC21CT821_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:49,000	10JEC31CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:53,000	10JEC41CT841_XQ01	292	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:54,000	10JEC41CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:57,000	10JEC41CT832_XQ01	291	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:20:58,000	10JEC41CT832_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:00,000	10JEC31CT833_XQ01	56.4	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:21:09,000	10JEC41CT811_XQ01	292	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:09,749	10JEC33CT845_XQ01	284.45	°C	дост	Температура теплоносителя в холодной нитке петли 3 первого контура	
30.01.20 18:21:10,000	10JEC41CT811_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:27,000	10JEC31CT844V_XQ01	49.7	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:21:34,000	10JEC41CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:35,000	10JEC41CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:37,000	10JEC41CT842_XQ01	291	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:37,751	10JEC21CT815_XQ01	284.42	°C	дост	Температура теплоносителя в горячей нитке петли 2 первого контура	
30.01.20 18:21:38,000	10JEC41CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:42,000	10JEC11CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:42,000	10JEC21CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:42,000	10JEC31CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:43,000	10JEC11CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:43,000	10JEC21CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:43,000	10JEC31CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:47,000	10JEC41CT831_XQ01	284	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:48,000	10JEC41CT831_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:49,000	10JEC11CT824V_XQ01	53.2	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:21:50,000	10JEC41CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:51,000	10JEC41CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:59,000	10JEC11CT811_XQ01	288  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:59,000	10JEC21CT811_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:59,000	10JEC31CT811_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:21:59,000	10JEC41CT811_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:07,000	10JEC31CT843Y_XQ01	57.0	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:22:15,355	10JEC41CT825_XQ01	284.46	°C	дост	Температура теплоносителя в горячей нитке петли 4 первого контура	
30.01.20 18:22:22,000	10JEC11CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:22,000	10JEC21CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:22,000	10JEC31CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:23,000	10JEC11CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:23,000	10JEC21CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:23,000	10JEC31CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:25,805	10JEC13CT835_XQ01	284.55	°C	дост	Температура теплоносителя в холодной нитке петли 1 первого контура	
30.01.20 18:22:26,000	10JEC11CT813Y_XQ01	59.6	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:22:26,000	10JEC11CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:26,000	10JEC21CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:26,000	10JEC31CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:27,000	10JEC11CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:27,000	10JEC21CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:27,000	10JEC31CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:29,000	10JEC11CT811_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:29,000	10JEC21CT811_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:29,000	10JEC31CT811_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:29,000	10JEC41CT811_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:29,808	10JEC31CT825_XQ01	284.43	°C	дост	Температура теплоносителя в горячей нитке петли 3 первого контура	
30.01.20 18:22:34,000	10JEC31CT814V_XQ01	50.1	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:22:35,000	10JEC41CT841_XQ01	292	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:36,000	10JEC41CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:38,000	10JEC41CT812_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:39,000	10JEC11CT813X_XQ01	59.6	°C	дост	Темп хол сп 0-100 ГРАД	
30.01.20 18:22:39,000	10JEC41CT812_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:44,000	10JEC41CT812_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:45,000	10JEC41CT812_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:46,000	10JEC31CT844_XQ01	49.8	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:22:48,000	10JEC41CT832_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:49,000	10JEC41CT832_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:58,000	10JEC41CT841_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:59,000	10JEC11CT841_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:59,000	10JEC21CT841_XQ01	288  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:22:59,000	10JEC31CT841_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:08,000	10JEC11CT833_XQ01	60.0	°C	дост	Темп хол сп 10JEC11 0-100 ГРАД	
30.01.20 18:23:09,000	10JEC41CT831_XQ01	292	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:10,000	10JEC41CT831_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:20,000	10JEC41CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:21,000	10JEC41CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:28,000	10JEC41CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:28,000	10JEC11CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:28,000	10JEC21CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:28,000	10JEC31CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:29,000	10JEC11CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:29,000	10JEC21CT841_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:29,000	10JEC31CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:29,000	10JEC41CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:32,963	10JEC43CT825_XQ01	284.71	°C	дост	Температура теплоносителя в холодной нитке петли 4 первого контура	
30.01.20 18:23:35,000	10JEC41CT821_XQ01	284	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:36,000	10JEC41CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:38,000	10JEC41CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:38,000	10JEC11CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:38,000	10JEC21CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:38,000	10JEC31CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:39,000	10JEC41CT822_XQ01	291	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:40,000	10JEC41CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:44,000	10JEC41CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:45,000	10JEC41CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:46,000	10JEC31CT814_XQ01	50.1	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:23:48,164	10JEC43CT845_XQ01	284.45	°C	дост	Температура теплоносителя в холодной нитке петли 4 первого контура	
30.01.20 18:23:51,000	10JEC41CT831_XQ01	284	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:52,000	10JEC41CT831_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:23:56,165	10JEC31CT845_XQ01	284.93	°C	дост	Температура теплоносителя в горячей нитке петли 3 первого контура	
30.01.20 18:24:00,000	10JEC41CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:01,000	10JEC41CT841_XQ01	291	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:01,000	10JEC41CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:02,000	10JEC11CT812_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:02,000	10JEC41CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:02,000	10JEC21CT812_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:02,000	10JEC31CT812_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:03,000	10JEC11CT812_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:03,000	10JEC21CT812_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:03,000	10JEC31CT812_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:10,000	10JEC11CT821_XQ01	288  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:10,000	10JEC21CT821_XQ01	288  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:10,000	10JEC31CT821_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:10,000	10JEC41CT821_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:15,418	10JEC13CT815_XQ01	284.47	°C	дост	Температура теплоносителя в холодной нитке петли 1 первого контура	
30.01.20 18:24:24,000	10JEC11CT813_XQ01	59.6	°C	дост	Темп хол сп 10JEC11 0-100 ГРАД	
30.01.20 18:24:35,000	10JEC41CT831_XQ01	291	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:36,000	10JEC41CT831_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:37,772	10JEC33CT825_XQ01	284.71	°C	дост	Температура теплоносителя в холодной нитке петли 3 первого контура	
30.01.20 18:24:42,620	10JEC23CT835_XQ01	284.50	°C	дост	Температура теплоносителя в холодной нитке петли 2 первого контура	
30.01.20 18:24:47,000	10JEC31CT824_XQ01	50.0	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:24:48,000	10JEC11CT841_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:48,000	10JEC21CT841_XQ01	288  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:48,000	10JEC31CT841_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:48,000	10JEC41CT841_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:53,092	10JEC13CT825_XQ01	284.72	°C	дост	Температура теплоносителя в холодной нитке петли 1 первого контура	
30.01.20 18:24:58,622	10JEC13CT845_XQ01	284.53	°C	дост	Температура теплоносителя в холодной нитке петли 1 первого контура	
30.01.20 18:24:58,622	10JEC43CT835_XQ01	284.52	°C	дост	Температура теплоносителя в холодной нитке петли 4 первого контура	
30.01.20 18:24:59,000	10JEC11CT821_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:59,000	10JEC21CT821_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:59,000	10JEC31CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:24:59,000	10JEC41CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:06,000	10JEC11CT832_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:06,000	10JEC21CT832_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:06,000	10JEC31CT832_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:06,000	10JEC41CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:06,675	10JEC31CT815_XQ01	284.48	°C	дост	Температура теплоносителя в горячей нитке петли 3 первого контура	
30.01.20 18:25:07,000	10JEC11CT832_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:07,000	10JEC21CT832_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:07,000	10JEC31CT832_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:07,000	10JEC41CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:15,000	10JEC31CT813_XQ01	58.5	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:25:15,000	10JEC11CT821_XQ01	288  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:15,000	10JEC21CT821_XQ01	288  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:15,000	10JEC31CT821_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:15,000	10JEC41CT821_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:16,000	10JEC11CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:16,000	10JEC21CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:16,000	10JEC31CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:16,000	10JEC41CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:16,174	10JEC21CT825_XQ01	284.46	°C	дост	Температура теплоносителя в горячей нитке петли 2 первого контура	
30.01.20 18:25:22,000	10JEC41CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:23,000	10JEC31CT823_XQ01	58.3	°C	дост	Темп хол сп 10JEC31 0-100 ГРАД	
30.01.20 18:25:23,000	10JEC11CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:23,000	10JEC21CT841_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:23,000	10JEC31CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:26,000	10JEC11CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:26,000	10JEC21CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:26,000	10JEC31CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:26,000	10JEC41CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:45,000	10JEC11CT821_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:45,000	10JEC21CT821_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:45,000	10JEC31CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:45,000	10JEC41CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:46,000	10JEC13CT005_XQ01	49.7	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:25:48,000	10JEC11CT841_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:48,000	10JEC21CT841_XQ01	288  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:48,000	10JEC31CT841_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:48,000	10JEC41CT841_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:48,228	10JEC11CT825_XQ01	284.48	°C	дост	Температура теплоносителя в горячей нитке петли 1 первого контура	
30.01.20 18:25:55,000	10JEC11CT823_XQ01	59.6	°C	дост	Темп хол сп 10JEC11 0-100 ГРАД	
30.01.20 18:25:57,000	10JEC41CT821_XQ01	292	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:25:58,000	10JEC41CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:03,000	10JEC41CT821_XQ01	292	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:04,000	10JEC41CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:07,000	10JEC11CT821_XQ01	288  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:07,000	10JEC21CT821_XQ01	288  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:07,000	10JEC31CT821_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:07,000	10JEC41CT821_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:18,000	10JEC11CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:18,000	10JEC21CT841_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:18,000	10JEC31CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:18,000	10JEC41CT841_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:19,000	10JEC33CT004_XQ01	43.0	°C	дост	Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:26:22,000	10JEC11CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:22,000	10JEC21CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:22,000	10JEC31CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:23,000	10JEC11CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:23,000	10JEC21CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:23,000	10JEC31CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:34,000	10JEC11CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:34,000	10JEC21CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:34,000	10JEC31CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:35,000	10JEC11CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:35,000	10JEC21CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:35,000	10JEC31CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:37,000	10JEC11CT821_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:37,000	10JEC21CT821_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:37,000	10JEC31CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:37,000	10JEC41CT821_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:37,832	10JEC21CT845_XQ01	284.73	°C	дост	Температура теплоносителя в горячей нитке петли 2 первого контура	
30.01.20 18:26:37,832	10JEC43CT815_XQ01	284.78	°C	дост	Температура теплоносителя в холодной нитке петли 4 первого контура	
30.01.20 18:26:38,000	10JEC41CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:39,000	10JEC41CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:39,000	10JEC41CT832_XQ01	291	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:40,000	10JEC41CT832_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:42,000	10JEC41CT842_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:43,000	10JEC41CT832_XQ01	291	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:43,000	10JEC41CT842_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:44,000	10JEC41CT832_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:48,000	10JEC41CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:48,000	10JEC11CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:48,000	10JEC21CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:48,000	10JEC31CT822_XQ01	287  пл	°C	нет	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:51,000	10JEC41CT831_XQ01	284	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:52,000	10JEC41CT831_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:55,000	10JEC33CT904_XQ01	43.0	°C	дост	2V3 Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 18:26:58,000	10JEC41CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:58,000	10JEC11CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 18:26:58,000	10JEC21CT822_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
