Белорусская АЭС-1-СВБУ  АРМ ЦТП-1 (10CKD02)
Имя пользователя: ATE_SMATE, Имя протокола: NVATE_CFDI/JEC 
Создано: 30.01.2020 22:34:01, Выборка: 30.01.20 18:20:00 - 30.01.20 18:50:00
Время	KKS	Знач	Ед.изм	Дост	Описание	
30.01.20 17:51:22,000	10JEC43CT901_XQ01	287	°C	дост	2V3Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 17:51:26,000	10JEC42CT001_XQ01	285	°C	дост	Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 17:51:30,000	10JEC41CT841Y_XQ01	287	°C	дост	Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 17:51:32,000	10JEC33CT904_XQ01	42.9	°C	дост	2V3 Т ХЛДН СПАЕВ 0-100 ГРАД	
30.01.20 17:51:33,000	10JEC21CT922B_XQ01	287	°C	дост	МО Темп тепл гор петл2 0-400 ГРАД	
30.01.20 17:51:34,000	10JEC13CT001_XQ01	287	°C	дост	Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 17:51:34,000	10JEC41CT841X_XQ01	287	°C	дост	Темп тепл гор петл4 0-400 ГРАД	
30.01.20 17:51:35,000	10JEC41CT831Y_XQ01	287	°C	дост	Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 17:51:36,000	10JEC31CT841X_XQ01	287	°C	дост	Темп тепл гор петл3 0-400 ГРАД	
30.01.20 17:51:36,000	10JEC41CT821X_XQ01	287	°C	дост	Темп тепл гор петл4 0-400 ГРАД	
30.01.20 17:51:37,000	10JEC11CT842V_XQ01	287	°C	дост	Темп тепл гор петл1 0-400 ГРАД	
30.01.20 17:51:41,000	10JEC23CT001_XQ01	287	°C	дост	Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 17:51:42,000	10JEC31CT831_XQ01	288	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 17:51:57,000	10JEC11CT821X_XQ01	288	°C	дост	Темп тепл гор петл1 0-400 ГРАД	
30.01.20 17:51:57,000	10JEC11CT921A_XQ01	288	°C	дост	МО Темп тепл гор петл1 0-400 ГРАД	
30.01.20 17:51:58,000	10JEC11CT821Y_XQ01	288	°C	дост	Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 17:52:01,000	10JEC31CT821Y_XQ01	287	°C	дост	Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
